"id","name","address","city_state_zip","fax","phone"
"1","AUTOZONE","160 WASHINGTON ST","SOMERVILLE, MA",,"617 591 1417"
"3","128 SAAB VOLVO","614 NORTH AVE","WAKEFIELD, MA  01880",,"781/224-3720"
"4","ACTION BEARING CO.","201 BRIGHTON AVE","BOSTON, MA  02134",,"617-782-1400"
"5","ANG BRAKE/TECHSTAR INDUSTRIES","10 WEST END RD NJ 07512","ACCT#: 110035","FAX:514-735-3030","514-735-0101"
"6","COLONIAL NISSAN OF MEDFORD","162 MYSTIC AVE","MEDFORD, MA 02155",,"781 395 5300"
"7","JA INDUSTRIES","420 WEST STREET","WEST BRIDGWATER, MA.02379","FAX : 508-588-8830","508-588-0131"
"8","AMG","RON DUQUETTE /CHICK CAPOLI","11 E.BROOKFIELD RD.","P.O.BOX94/N.BROOKFIE","508-867-5589/5"
"9","AEI CORP","383 STRAND INDUSTRIAL DRIVE","ATTN: MIKE","LITTLE RIVER, SC  29","843/399-2190"
"10","ATLANTIC PACIFIC AUTOMOTIVE","SALES REP: DALE","GERMANTOWN, TN 38183","FAX 800-562-2370","800/238-5153"
"11","ATLANTIC ENTERPRISES","221 STRAND INDUSTRIAL DRIVE","LITTLE RIVER, SC  29566",,"800/654-7565"
"12","SNG BARRAT USA","92 LONDENDERRY TPK","MANCHESTER NH 03104",,"603 622 1050"
"14","USA PARTS SUPPLY","261 INDUSTRIAL BLVD.","KEARNEYSVILLE, WV 25430","FAX: 703-335-0904","703-335-1935"
"15","JOHNS TRUCK AND AUTO PARTS","71 NEW BOSTON RD.","KINGSTON, NH. 03848","1-800-894-4361","1-603-642-8748"
"20","BAILEY DISTRIBUTING","NOW WINDWARD PETROLEUM",,,""
"30","BECK/ARNLEY WORLD PARTS CORP","6050 DANA WAY","ANTIOCH, TN  37013","FAX:615-220-3290","888-464-2325 A"
"35","BROOKLINE VOLKSWAGEN AUDI INC","308 BOYLSTON ST","BROOKLINE, MA  02446",,"671 734 2020 X"
"36","BOSCH","CONNIE 800-444-0470 X1","FAX:708-865-5407","ACCT:200771-02","FRANK 401.254."
"40","BOSAL","411 WAVERLY OAKS ROAD","WALTHAM MA 02154",,"617/647-7667"
"44","BOSTON VOLVO VILLAGE","75 NORTH BEACON STREET","BOSTON, MA  02134",,"560-1720"
"45","CAMBRIDGE NISSAN","1280 CAMBRIDGE STREET","CAMBRIDGE MASS. 02139",,"(617)497-0436"
"46","NISSAN WOBURN","95 CEDAR ST.","STONEHAM, MA.02180","781-835-3510",""
"48","CCT AXLES --USE AAT--",,"FAX 603-647-8222",,"603-626-3880"
"50","CENTRAL AUTOMOTIVE WAREHOUSE","10 BRAINTREE ST","ALLSTON, MA  02134","FAX 617-254-5374","617-254-0414"
"60","SPI DISTRIBUTION INC","20 SYCAMORE AVE","MEDFORD, MA  02155",,"800-638-7140"
"61","DRAKEN PARTS 2005","2030","GREY EAGLE DRIVE","MEDFORD, OREGON.9750","541-779-0731"
"63","CENTURY TIRE","265 BEACON ST","SOMERVILLE, MA  02143",,"617/547-7878"
"64","CERTIFIT AUTO BODY PARTS","140 YORK AVE","RANDOLPH, MA  02368",,"800/607-9111"
"65","CHAMBERS MOTORCARS","259 MCGRATH HIGHWAY","SOMERVILLE, MA  02145",,"617-666-4100"
"66","CITYSIDE SUBARU","790 PLEASANT STREET","BELMONT, MA. 02478",,"781-641-1900"
"67","NORWOOD SUBARU","ROUTE ONE 'AUTOMILE'","NORWOOD, MA 02062",,"781/762-8285"
"69","ECKERT & SON, INC.","14445 US HWY. 290","STONEWALL, TX. 78671","ATTN: GLEN WATSON","800-950-8014"
"70","CHARLES RIVER SAAB",,,,"617/923-0014"
"75","DMI","475C CHURCH STREET","NEW BEDFORD, MA  02745",,"508/998/2200"
"77","ETW CORPORATION","EASTERN TOOL WAREHOUSE","35 INDUSTRIAL PARKWAY","WOBURN, MA  01801","781-935-3460"
"80","EUROPACIFIC PARTS INTERNATION","ACCT# 010369","ATTN: CRAIG","FAX-949-553-3905","800-952-7283 X"
"85","STD MOTOR PROD/GPS/FILKO","DISPUTANTA, VA 23842","ACCT #: 3169","FAX: 804-862-9200","804 862 1500"
"90","AUTOPART INTERNATIONAL APF FA","P.O. BOX 846061","BOSTON, MA. 02284-6061","FAX: 781-253-3100","800-242-5700 X"
"100","WEST SPRINGFIELD AUTO PARTS",,,,"617/729-1460"
"101","FEDERAL MOGUL","26555 NORTHWESTERN HIGHWAY","SOUTHFIELD, MI  48034",,"800-560-1400"
"104","HONDA CARS OF BOSTON","100 BROADWAY","RT 99","EVERETT, MA  02149","617-389-1700"
"105","HONDA VILLAGE","371 WASHINGTON STREET","NEWTON, MA   02158",,"630-3200 / 965"
